postal_code;latitude;longitude
145 63;59.25;17.7833
145 64;59.25;17.7833
145 65;59.25;17.7833
145 68;59.25;17.7833
145 70;59.25;17.7833
146 30;59.2;17.8833
146 34;59.1759307;17.9145221
146 45;59.2;17.8833
146 53;59.2;17.8833
147 30;59.1986;17.8332
147 32;59.1986;17.8332
147 33;59.1986;17.8332
147 42;59.1986;17.8332
147 54;59.1986;17.8332
147 60;59.2;17.8
147 61;59.2;17.8
147 70;59.1988;17.829
148 00;58.9833;17.9
148 30;58.9833;17.9
148 70;58.9802;17.9374
148 71;58.9802;17.9374
148 95;58.9831;18.1331
149 22;58.9034;17.9479
149 25;58.9034;17.9479
149 30;58.9034;17.9479
149 31;58.9034;17.9479
149 32;58.9034;17.9479
149 33;58.9034;17.9479
149 40;58.9034;17.9479
149 41;58.9034;17.9479
149 51;58.9034;17.9479
149 92;58.9034;17.9479
149 95;58.9034;17.9479
150 21;59.05;17.4167
151 32;59.1955;17.6252
151 33;59.1955;17.6252
151 34;59.1955;17.6252
151 36;59.1955;17.6252
151 38;59.1955;17.6252
151 39;59.1955;17.6252
151 46;59.1955;17.6252
151 47;59.1955;17.6252
151 50;59.2530117;17.457121
151 51;59.2026148;17.5933166
151 53;59.1955;17.6252
151 55;59.1955;17.6252
151 59;59.1955;17.6252
151 60;59.1955;17.6252
151 62;59.1955;17.6252
151 63;59.1955;17.6252
151 65;59.1955;17.6252
151 71;59.1955;17.6252
151 72;59.1955;17.6252
152 31;59.1955;17.6252
152 40;59.1955;17.6252
152 42;59.1955;17.6252
152 43;59.1955;17.6252
152 49;59.1955;17.6252
152 57;59.1955;17.6252
152 58;59.1955;17.6252
152 70;59.1955;17.6252
153 30;59.1;17.5667
153 31;59.1;17.5667
153 36;59.1;17.5667
153 71;59.0167;17.5333
153 91;59.1;17.5667
153 93;59.0167;17.5333
155 30;59.1833;17.4333
155 34;59.1833;17.4333
155 35;59.1833;17.4333
155 91;59.1833;17.4333
161 33;59.3293235;18.0685808
161 39;59.3293235;18.0685808
161 56;59.3293235;18.0685808
162 15;59.3644;17.8741
162 29;59.3293235;18.0685808
162 45;59.3644;17.8741
162 47;59.3644;17.8741
162 50;59.3644;17.8741
162 52;59.3644;17.8741
162 53;59.3644;17.8741
162 55;59.3644;17.8741
162 56;59.3644;17.8741
162 60;59.3644;17.8741
162 61;59.3644;17.8741
162 64;59.3644;17.8741
162 65;59.3644;17.8741
162 66;59.3644;17.8741
162 67;59.3644;17.8741
162 72;59.3644;17.8741
162 74;59.353741;17.8843972
163 40;59.3833;17.9167
163 42;59.3833;17.9167
163 46;59.3833;17.9167
163 51;59.3833;17.9167
163 54;59.3833;17.9167
163 55;59.3833;17.9167
163 63;59.3833;17.9167
163 64;59.3833;17.9167
163 73;59.3833;17.9167
163 74;59.3833;17.9167
164 26;59.4032;17.9448
164 32;59.4032;17.9448
164 35;59.4032;17.9448
164 40;59.4032;17.9448
164 53;59.4032;17.9448
